First Name,Password,E-mail,University,Module1,Module2,Module3,Module4,Module5,Module6,Role,Slogan,Total Marks,Company Name,at1,at2,at3,at4,at5,at6,atTotal
Muneeb,1122,dev.muneeb@hotmail.com,Brunel University London,46,81,100,86,85,87,Student ,They'll bow in some time,80.83,Tesla,72,41,66,91,93,79,73.67
Leonid,m4128,lheinig1@creativecommons.org,Cyberjaya University College of Medical Science,79,77,60,60,69,85,Accountant II,embrace 24/7 schemas,71.67,Lakin Group,79,48,45,90,83,73,69.67
Bryon,w7992t,bhamflett2@wordpress.org,University of Tennessee - Memphis,74,48,80,57,93,45,Registered Nurse,generate cutting-edge deliverables,66.17,Wisozk-Ankunding,80,56,95,63,40,65,66.5
Elisabetta,y6699B,ecodman3@chron.com,Université Nancy II,100,52,89,52,75,74,Physical Therapy Assistant,implement holistic markets,73.67,Lueilwitz Group,79,57,68,45,83,80,68.67
Ardelia,s0919KS,arose4@goo.gl,Old Dominion University,87,96,85,95,81,55,Accountant II,expedite customized e-business,83.17,Christiansen LLC,83,54,48,75,49,58,61.17
Rici,z1916o,rwellstood5@oaic.gov.au,State University of New York College of Technology at Farmingdale,57,100,80,55,69,75,Speech Pathologist,optimize sexy experiences,72.67,"Mueller, Robel and Haag",93,91,50,49,72,75,71.67
Reggy,"x7231\,|",rjarley6@gnu.org,Soongsil University,46,100,45,70,58,79,Registered Nurse,generate robust infrastructures,66.33,Walter-Goyette,42,46,71,70,73,71,62.17
Danila,z8887,dbrazur7@uiuc.edu,Wesley University of Science and Technology,82,61,50,91,63,40,Librarian,monetize extensible e-markets,64.5,"Brown, Batz and Will",75,84,68,53,61,100,73.5
Cole,l9150,cstapley8@sourceforge.net,Columbia College,76,100,56,52,80,46,Senior Financial Analyst,disintermediate collaborative synergies,68.33,"Swift, Jerde and Feest",50,53,54,91,99,74,70.17
Jeffrey,v4630u,jtiuit9@twitpic.com,Alain University of Science and Technology,97,42,92,65,71,66,Senior Developer,maximize back-end partnerships,72.17,Schiller and Sons,41,92,92,40,52,73,65
Marcie,y8408,mdemeridaa@gravatar.com,Cheju National University of Education,42,93,61,47,49,75,Actuary,whiteboard robust architectures,61.17,Littel Inc,89,60,97,75,41,83,74.17
Stinky,x7667E,sgennerb@ifeng.com,Iwaki Meisei University,68,75,79,52,45,88,Account Representative II,unleash rich channels,67.83,"Breitenberg, Gulgowski and Swift",51,95,96,73,59,41,69.17
Kenneth,o5490,kphillipc@bbb.org,Indian School of Business Management and Administration,68,76,80,81,79,94,Software Test Engineer I,architect innovative channels,79.67,Gusikowski-Waters,68,76,93,84,73,97,81.83
Elijah,x5999,emaffeyd@usgs.gov,Athlone Institute of Technology,88,58,41,59,79,87,Paralegal,iterate e-business platforms,68.67,Bechtelar LLC,50,70,42,68,49,88,61.17
Sax,n4700p0,srosebye@narod.ru,University of Lethbridge,95,48,92,55,88,61,Editor,revolutionize innovative mindshare,73.17,Krajcik-Heathcote,97,51,61,92,51,74,71
Corena,r6699|c),ckitherf@youku.com,Universidad San Francisco Xavier,68,78,69,74,76,53,Senior Editor,scale synergistic e-services,69.67,"Bins, Harvey and Prohaska",64,100,81,85,81,82,82.17
Dorelle,i3866,dgummg@upenn.edu,University Marien Ngouabi Brazzaville,87,49,76,67,72,65,Systems Administrator II,architect user-centric technologies,69.33,"Bauch, Gusikowski and Sanford",69,40,56,84,92,88,71.5
Dunc,j69771|1,dmenichih@census.gov,Universidad del Magdalena,64,62,89,42,82,74,Mechanical Systems Engineer,innovate e-business action-items,68.83,"Tromp, Watsica and Walsh",53,75,66,58,42,60,59
Rebekah,y4049,rwoollami@hostgator.com,St. Petersburg State University of Telecommunication,71,42,66,61,59,91,VP Sales,synthesize seamless solutions,65,"Pouros, Lehner and Schroeder",88,98,81,82,51,95,82.5
Cobb,g3869,ccresseyj@etsy.com,Charles Sturt University,49,90,74,74,43,87,Nuclear Power Engineer,brand extensible partnerships,69.5,"DuBuque, Smith and Leffler",87,92,85,59,65,63,75.17
Ruthy,y7516W}D,rtinerk@bloglines.com,Universidade Federal de Mato Grosso do Sul,76,85,41,45,96,45,GIS Technical Architect,orchestrate next-generation infomediaries,64.67,Boyer Inc,63,83,51,79,41,64,63.5
Zacharias,e2545,zbowsherl@booking.com,Rockhurst College,91,89,76,90,71,85,Sales Representative,synthesize virtual initiatives,83.67,Rutherford-Nicolas,99,49,41,71,48,54,60.33
Rhianon,t3201,rmolfinom@soup.io,Sri Lanka Institute of Advanced Technical Education,51,60,93,96,76,78,Programmer II,recontextualize compelling infrastructures,75.67,Langosh-Jacobi,98,67,44,86,40,47,63.67
Mauricio,p0024u05,mlongcastern@webnode.com,Tokai Women's College,99,55,90,47,93,44,Human Resources Manager,integrate real-time functionalities,71.33,"Hermiston, Flatley and Schulist",42,98,92,72,64,44,68.67
Margaretta,e2392w~b,moguso@cafepress.com,Bauman Moscow State Technical University,85,83,40,86,57,50,Recruiting Manager,implement robust web services,66.83,"Graham, Bauch and Adams",40,68,63,62,86,95,69
Errol,u6359#W,eblowingp@foxnews.com,Perdana University,43,66,73,70,75,97,Web Designer II,envisioneer viral synergies,70.67,Shields-Lakin,43,92,76,91,45,62,68.17
Britta,t7854pv=,brebbeckq@opera.com,St. Petersburg Institute of Arts and Restoration,86,92,95,77,64,47,Structural Engineer,architect innovative action-items,76.83,Ruecker and Sons,57,95,97,67,61,67,74
Friedrick,c6879,fizakovr@paypal.com,Universität Erfurt,54,70,77,53,63,79,Environmental Specialist,reintermediate impactful web-readiness,66,Heidenreich Group,68,92,57,70,55,86,71.33
Burnaby,i6633,btookills@cbsnews.com,Osaka University of Commerce,51,92,71,62,69,90,GIS Technical Architect,utilize viral action-items,72.5,Upton and Sons,80,49,83,87,55,47,66.83
Desiree,y8231zX,djentont@xrea.com,Gandhara Institute of Medical Sciences,57,77,62,47,70,76,Mechanical Systems Engineer,harness mission-critical channels,64.83,Luettgen-Green,90,87,95,92,80,48,82
Toby,x6870ZLg,ttremlettu@cargocollective.com,University of North Carolina at Charlotte,61,77,100,63,54,48,Database Administrator II,enhance dot-com vortals,67.17,"Yost, Collier and Herzog",58,40,73,51,44,98,60.67
Tony,a4819@,tslymev@google.com.au,Hamamatsu University School of Medicine,61,44,84,45,71,53,Technical Writer,e-enable visionary systems,59.67,Hirthe-Cole,49,80,40,46,95,87,66.17
